店铺名称,人均消费,分类名称,所在区域,口味评分,环境评分,服务评分,商品编号,店铺星级
点都德,94,粤式茶点,南山区,9.1,9.1,9.0,98546557,50
捞王锅物料理,143,猪肚鸡火锅,科技园,9.0,9.1,9.1,112229896,50
豆腐家dubujib,60,韩国料理,市中心区,8.7,8.8,9.1,129962672,45
Spacelab失重餐厅,119,西餐,宝安中心区,7.8,9.0,8.5,110509795,40
呷哺呷哺,94,小火锅,市中心区,8.6,9.0,8.6,129966664,45
小黄紫炸鸡,30,炸鸡炸串,沙头,8.5,7.8,8.2,110509739,40
楊記隆府,106,江湖菜,国贸,8.1,9.1,8.8,125405456,45
极浦亭餐厅,93,粤菜,梅林,8.5,9.0,8.5,91666871,45
马旺子川小馆,137,川菜家常菜,深圳湾,8.6,9.0,8.8,124512568,45
澤田本家·铜锣烧专门店,18,面包甜点,市中心区,8.3,8.4,8.9,112143543,40
三妹小龙虾,264,海鲜,白石洲,8.6,7.3,8.3,102118697,45
神秘的魔女厨房,145,创意菜,车公庙,8.0,8.6,8.4,94033238,40
鹏瑞莱佛士酒店·星空坊Sky Cafe,627,西餐,南山区,9.1,9.4,9.4,128485176,50
四季烧烤火锅大排档,141,烧烤,新洲,8.3,7.0,7.7,27426644,40
無双海鲜丼专门店,121,日本料理,南山中心区,8.3,8.6,8.8,112069376,45
六少·猪肚包鸡,91,猪肚鸡火锅,海岸城,8.8,9.0,9.0,130272288,45
拾号牛扒,177,牛排,宝安中心区,8.6,8.5,8.4,95985253,45
冬阴功,85,东南亚菜,南头,8.9,8.0,8.5,102377355,45
极炙·台湾精致炭火烧肉,232,融合烤肉,KKMAll/京基100大厦,9.1,8.7,9.2,91606013,50
禄鼎记,102,川菜家常菜,市中心区,8.8,9.0,9.0,92763376,45
gaga鲜语,55,西餐,市中心区,8.6,8.8,8.5,4278304,45
湊湊火锅·茶憩,134,火锅,皇岗,8.4,8.9,8.6,93227294,45
龙巢盱眙龙虾,140,小龙虾,香蜜湖,8.8,8.6,8.4,3049726,45
太二酸菜鱼,92,酸菜鱼/水煮鱼,市中心区,8.8,8.9,8.8,92329372,45
鲍师傅糕点,39,面包烘焙,海岸城,8.3,7.7,7.7,111608038,40
佬麻雀,92,湘菜,华强北,8.4,9.1,8.9,124340215,45
79号渔船海鲜主题饭店,226,海鲜,KKMAll/京基100大厦,8.8,8.3,7.8,66996117,45
吽home炭火烧肉,225,日式烧烤/烤肉,南山区,7.9,8.0,7.3,124154810,35
合气屋·糖果居酒屋,113,日本料理,华强北,9.1,9.3,9.2,127048139,50
COMMUNE,108,西餐,车公庙,8.6,9.1,8.8,130077169,45
饭聚,109,顺德菜,皇岗,8.8,7.7,8.2,79610793,45
老乾杯,748,日式烧烤/烤肉,市中心区,9.0,9.1,9.1,93772945,50
BEEPLUS超级烘焙工坊,54,面包烘焙,海岸城,8.1,9.0,8.4,113114494,40
岚LAN·SUSHI&COCKTAIL,219,日本料理,石厦,8.7,9.2,9.1,102026522,50
I HOLIC PIZZA 艾豪丽披萨,95,西餐,华强北,9.0,9.2,8.8,93356268,50
天宝兄弟,139,湘菜,梅林,9.2,8.5,9.1,70133256,50
集渔·泰式海鲜火锅,129,泰式火锅,梅林,8.7,9.1,9.0,126105047,45
Drift,82,西餐,车公庙,9.0,9.3,9.2,113883234,50
李白热卤·现煮串串,71,串串香,新安,8.4,8.4,8.8,129379086,45
wann lounge,540,西餐,南山区,9.0,9.3,9.2,97803819,50
四海一家,181,自助餐,益田假日,7.2,7.7,7.4,2340253,35
大秦小宴,117,西北菜,市中心区,8.7,9.1,8.8,20832481,45
馔豚,73,台湾菜,科技园,8.5,8.6,8.8,90318000,45
海底捞火锅,136,火锅,市中心区,9.1,9.2,9.3,8039208,50
辉记炭烧海鲜,333,海鲜,荔枝公园片区,8.8,8.3,8.6,77245738,45
成天都想吃,63,川菜家常菜,南山中心区,8.6,8.8,9.1,129666322,45
何止味觉,53,日本料理,水贝,8.6,8.1,9.1,125723079,45
旬野菜和牛火锅·放题,168,日式火锅,市中心区,8.6,8.8,8.7,97429212,45
极上萬膳·日料自助,280,日本料理,南油,8.5,8.9,8.6,103635847,45
冰村大叔·煲仔粥糖水店,37,小吃快餐,梅林,8.6,7.5,7.8,58443184,45
外婆家,61,浙菜,市中心区,7.9,8.5,8.0,18993110,40
桂满陇-锦绣江南,84,浙菜,益田假日,8.2,9.1,8.8,98757449,45
东记海鲜大咖,181,海鲜,龙华,8.8,7.8,8.5,42111439,45
廒椒AOJIAO酒馆,64,川菜家常菜,桃园,8.9,9.2,9.2,129188953,50
胡桃里音乐酒馆,128,川菜家常菜,市中心区,8.6,9.1,8.3,38306645,45
盒马鲜生,129,海鲜,市中心区,8.7,8.4,8.3,98228809,45
1949全鸭季,463,烤鸭,欢乐海岸,9.0,9.2,9.1,18722722,50
鮨吟 Sushi Gin,1661,寿司,香蜜湖,9.4,9.3,9.4,124229679,50
BeauTea水仙,36,茶饮果汁,市中心区,8.5,8.3,8.3,73619373,45
红盔甲,150,小龙虾,白石洲,9.1,9.1,9.2,124945947,50
SHAUGHNESSY Restaurant & Bar,709,西餐,科技园,9.1,9.0,9.2,112226709,50
莆田餐厅,130,福建菜,科技园,8.3,8.9,9.0,93011104,45
厨姐炸鸡,63,韩国料理,梅林,8.2,7.5,8.1,24100377,40
芝湖参鸡汤,80,韩国料理,南山中心区,8.5,8.6,8.8,130348124,45
南京大牌档,64,南京菜,KKMAll/京基100大厦,8.3,8.7,8.4,23476197,45
% Arabica,42,咖啡厅,深圳湾,8.2,8.0,8.0,124529418,40
北京羲和雅苑烤鸭坊,152,烤鸭,科技园,8.1,9.0,8.6,95379691,40
SOI 22 二十二象,121,东南亚菜,市中心区,8.1,8.9,8.7,96044963,40
堂本家洋食别馆,84,日本料理,市中心区,8.3,8.6,8.3,6136909,40
相悦星期8•音乐烧烤吧,104,烧烤,皇岗,9.1,9.2,9.0,98870767,50
Jungle nat 高空西餐厅,101,西餐,石厦,8.1,9.2,8.6,129877279,45
王品牛排,445,牛排,海岸城,9.0,9.2,9.2,58500262,50
大聖酒場,240,日本料理,国贸,8.6,9.2,8.9,114877734,50
吉姆南洋大师傅,31,面包甜点,五大道,8.7,8.6,8.6,130496044,45
梨花自助烤肉,72,自助餐,和平路,8.9,9.0,9.0,107767918,45
柒號馆天津菜,69,天津菜,滨江道,9.1,8.9,9.1,18382688,50
云杉·膳好,109,特色菜,时代奥城,9.1,9.3,9.2,17658440,50
汉巴味德,79,自助餐,水游城,9.1,9.1,9.1,22376661,50
观宴·海鲜美学主题自助餐厅,459,自助餐,小白楼,9.1,9.2,9.1,93392954,50
FreakShake 变态奶昔,38,茶饮果汁,五大道,8.6,9.1,9.1,129826538,45
道味,165,创意菜,五大道,9.1,9.2,9.1,65649839,50
奶奶的美食,20,快餐简餐,白堤路/风荷园,8.5,8.6,8.8,130902248,45
湖院,91,天津菜,水上/天塔,9.2,9.1,9.1,90083302,50
刘家小院·烧麦,66,京菜,后广场,9.1,9.1,9.1,104093729,50
奶奶的美食天津一店,21,快餐简餐,东丽区,8.9,8.8,9.0,130963086,45
芋见他,32,甜品,大悦城,8.7,8.7,8.5,130917906,45
电台巷火锅,113,火锅,南市,9.1,9.1,9.2,125231182,50
La Fleur用心,168,西餐,五大道,9.3,9.4,9.3,102331414,50
娜娜家·nana's restaurant,108,西餐,大悦城,9.1,9.2,9.1,21274230,50
三胖鸡肉串,60,烤串,前园桥,9.1,8.6,9.1,65194535,50
胡大饭馆,125,川菜家常菜,永安道沿线,9.0,9.0,8.7,22428224,45
通海俄式烧烤,87,烤串,下瓦房,9.1,9.2,9.2,98707405,50
奈雪の茶,39,茶饮果汁,上杭路街,8.7,9.0,9.0,131507948,45
粤食堂,82,广州菜,尖山,8.8,8.8,8.1,113967694,45
玉玲珑,78,浙菜,和平路,9.1,9.2,9.2,91928197,50
祖母的魔法厨房,77,其他美食,红桥区,9.0,9.2,9.1,111511505,50
鲸岚·烧肉夜食,138,融合烤肉,五大道,9.2,9.2,9.1,21212841,50
川骄海鲜自助,190,自助餐,后广场,9.1,9.2,9.1,92025370,50
泰钰丰,124,天津菜,永安道沿线,9.1,9.2,9.1,17983537,50
北塘海鲜大酒楼,163,海鲜,大王庄,9.1,8.3,8.4,5286691,45
马路边边串串香,92,串串香,天佑城/西南角,9.0,8.9,8.9,112151262,50
南京大牌档,65,南京菜,和平路,9.0,9.1,9.0,66653595,50
喜茶,31,茶饮果汁,南市,9.1,9.0,8.7,121456916,50
Buffy小黄鸭茶楼,93,茶餐厅,滨江道,8.4,9.0,8.7,124462712,45
桃子餐厅,58,天津菜,王顶堤,9.0,8.6,8.8,17175694,50
COSE TEA & BAKERY,43,茶饮果汁,永安道沿线,8.8,9.2,9.0,129980998,45
四季酒店空中花园 Aria on 9,298,烧烤,滨江道,8.4,9.1,9.1,99617322,50
胡桃里音乐酒馆,136,川菜家常菜,下瓦房,8.9,9.2,8.9,91908770,50
泰赞,105,东南亚菜,滨江道,9.1,9.2,9.1,76832027,50
桂园餐厅,79,天津菜,五大道,8.4,7.6,7.7,536123,40
鑫海汇烤肉海鲜自助,66,自助餐,滨江道,8.7,8.8,8.8,21301905,45
韩国料理,38,韩国料理,五大道,8.6,7.3,7.9,22994424,45
乾园,76,上海本帮菜,和平路,9.1,9.2,9.1,92281985,50
吉布鲁牛排海鲜自助,78,自助餐,上杭路街,8.9,8.8,8.8,83498349,45
南大门韩糕,25,面包烘焙,白堤路/风荷园,8.3,8.3,8.5,130730917,40
九龍冰室,75,茶餐厅,文化中心,9.1,8.8,9.0,18274333,50
必点海鲜·鲅鱼水饺,108,海鲜,和平路,9.1,9.1,9.0,113893599,50
SUPERBOOM Burger爆爆大汉堡,75,西式简餐,五大道,9.1,9.0,9.0,95019366,50
火炉火自助餐,87,韩国料理,滨江道,9.1,9.0,9.0,66627997,50
陆壹捌餐厅,136,天津菜,五大道,9.0,9.1,8.7,22076946,45
小李饭庄,59,天津菜,本溪路/丁字沽,9.0,8.5,8.9,4548731,45
大渔铁板烧,211,日式铁板烧,大悦城,9.1,9.2,9.1,5290087,50
简坐,87,特色菜,大悦城,8.9,9.2,9.1,125223617,50
小吊梨汤,85,京菜,大悦城,9.1,9.1,9.2,18570510,50
天津卫码头,72,天津菜,大悦城,8.6,9.1,9.1,96366216,45
苏帮袁Sue Cuisine,127,淮扬菜,南市,9.1,9.3,9.2,125382151,50
赤道那海海鲜体验主题餐厅,385,自助餐,大悦城,9.0,9.1,9.1,69852692,50
班花串串香火锅,74,串串香,和平路,9.0,9.2,9.2,130568259,50
三个渔夫蒸汽海鲜,167,海鲜,小白楼,9.3,8.9,9.2,57391139,50
四化里牛肉饭,29,快餐简餐,围堤道沿线,8.4,7.2,7.9,99688168,40
大渔海棠·酸菜鱼,75,酸菜鱼/水煮鱼,大寺,9.0,9.2,9.1,129382769,50
耳朵眼会馆,202,天津菜,老城厢,8.9,9.2,8.8,6858507,45
铁真刨冰王红焖羊肉,27,冰淇淋,西康路沿线,9.0,8.3,8.5,534900,50
锦楼 Seafood&Bar,202,创意菜,五大道,9.0,9.4,9.3,125692281,50
那都不是锅港式打边炉,139,打边炉/港式火锅,狮子林大街,9.0,9.1,9.2,130525751,50
福满满·精细佛跳墙火锅,342,火锅,下瓦房,8.5,8.6,8.6,130052004,45
富祥四季餐厅·晚茶,102,特色菜,宾水道/体院北,9.1,9.3,9.1,2564380,50
彤彤海鲜鱼馆,138,海鲜,中山路,8.9,7.1,7.6,4521275,45
福记茶楼,94,茶餐厅,五大道,9.1,9.3,9.2,129522619,50
太二酸菜鱼,88,酸菜鱼/水煮鱼,大悦城,9.1,9.1,9.2,102278847,50
糖人街,78,浙菜,滨江道,8.7,9.2,9.1,91619210,50
铁真红焖羊肉&铁真刨冰,37,牛羊肉火锅,南市,9.0,8.6,9.0,9964588,45
圍炉,64,自助餐,上杭路街,7.6,7.9,7.8,23912074,40
那家油麻菜馆,102,广州菜,五大道,9.0,9.1,9.1,90434175,50
大台北麻辣烫,26,麻辣烫,滨江道,8.4,7.7,7.8,2351254,45
天池延边朝鲜族烤串夜宵,87,烤串,围堤道沿线,9.1,9.2,9.1,67742507,50
小铃兰,82,创意菜,和平路,8.9,9.3,9.2,92174851,50
Kiwi Bird 无尾鸟新西兰餐厅,117,西餐,大悦城,8.9,9.1,9.1,69630175,50
金陵暴走小龙虾,123,小龙虾,文化中心,9.2,9.2,9.2,113868000,50
焱火烧食,77,融合烤肉,白堤路/风荷园,9.2,9.1,9.1,66585167,50
哈茶加Hacha,38,面包甜点,水上/天塔,8.2,8.9,8.9,120159184,45
Deer Park鹿园西餐,141,西餐,红桥区,9.2,9.4,9.3,97242335,50
津沽小院,63,农家菜,中山路,9.1,9.0,9.0,114799056,50
大姨捞面,14,面馆,老城厢,9.0,8.1,8.5,22242015,45
海底捞火锅,113,火锅,南开大学,9.4,9.4,9.4,98587562,50
里米尼意大利餐厅,78,西餐,滨江道,8.6,9.1,8.9,90063504,45
東鲸食堂·鳗怀石,129,日本料理,和平路,9.1,9.1,9.1,111580031,50
袁府庭院烧烤·演艺吧·夜宵,91,烤串,中山路,7.1,7.8,7.5,130895441,35
侘寂,951,私房菜,和平路,9.2,9.3,9.3,69425119,50
金环西餐厅,65,西餐,水上/天塔,8.9,8.4,8.6,4179720,45
彭厨,90,湘菜,经济开发区,8.9,9.0,8.6,101966082,45
ins森林童话餐厅,153,西餐,老城厢,7.9,9.2,9.0,112008361,45
娜娜家·Nana’s restaurant,105,西餐,水上/天塔,9.2,9.2,9.2,98346460,50
贰楼小院,109,私房菜,滨江道,8.9,9.1,9.0,22567664,50
PIZZA BIANCA,105,西餐,文化中心,9.1,9.1,9.0,6256143,50
娜娜家.Nana’s restaurant,111,西餐,滨江道,9.2,9.3,9.2,112162125,50
无限韩国自助烤肉,46,韩式烤肉,王串场/民权门,9.1,9.0,8.9,130989577,50
小吾厨房,90,创意菜,滨江道,8.9,9.2,8.9,69137892,50
蘭海·海道鲜生,165,日式自助,水上/天塔,9.0,9.1,9.1,102514096,50
南京龙虾馆,101,小龙虾,海光寺/六里台,9.1,8.9,8.8,130469828,50
起士林大饭店,181,西餐,小白楼,7.7,8.4,7.6,61552110,40
锦 Restaurant&Bar,182,创意菜,五大道,8.9,9.3,9.1,103023100,50
宴宾楼,79,天津菜,上杭路街,9.0,9.1,8.8,23015028,50
茶人村-百年经典演绎杭帮味道,140,本帮江浙菜,龙井/虎跑,8.9,9.0,8.9,563199,50
杭州酒家,89,浙菜,湖滨,8.6,8.5,8.3,11549988,45
月龍吟,391,日式自助,钱江新城,9.1,9.3,9.1,124477671,50
哥老官重庆美蛙鱼头,139,重庆火锅,武林广场,9.1,8.8,8.9,98101685,50
竹哩,391,日式自助,星光大道,9.1,9.3,9.1,67161528,50
Super 27,137,西餐,凤起路沿线,8.6,9.1,9.0,113894845,45
觀芷隐轩,409,创意菜,吴山广场/河坊街,9.1,9.3,9.2,92898596,50
月芽 · 自由餐厅,208,西餐,西溪,9.0,9.2,9.0,69145776,50
陈艳红市井火锅,99,四川火锅,武林广场,8.6,8.6,8.6,125166784,45
方老大面,36,面馆,吴山广场/河坊街,9.1,7.7,7.9,96281090,45
南京大牌档,62,南京菜,下沙,9.0,9.1,9.1,130338884,50
满满初牛,127,日本料理,武林广场,9.1,9.0,9.1,90428857,50
大力士,107,韩国料理,凤起路沿线,9.0,8.2,8.6,45823060,45
桂语山房高级餐厅,614,创意菜,龙井/虎跑,9.1,9.3,9.1,3379543,50
LELECHA乐乐茶,40,面包烘焙,凤起路沿线,8.1,7.9,7.5,122283155,40
西子湖四季酒店·金沙厅,663,浙菜,西湖北线/黄龙,9.2,9.4,9.1,4498412,50
叶马,151,浙菜,凤起路沿线,8.4,8.5,8.4,97583757,45
乾湖会·海鲜姿造美学餐厅,427,自助餐,钱江世纪城,9.0,9.1,9.0,121480283,45
大牌大传统菜,74,浙菜,湖滨,8.7,8.8,8.3,72196398,45
304BRUNCH·RESTAURANT,136,西餐,凤起路沿线,8.7,9.1,9.0,75626805,45
蚝宅海鲜龙虾烧烤,114,小龙虾,天虹购物中心,9.0,8.3,8.8,112608240,50
乔村高压生蚝·私房菜·夜宵,116,江河湖海鲜,星光大道,8.9,8.3,8.9,96386713,45
顾小亭,96,广州菜,大关,8.4,8.7,8.7,92358053,45
老头儿油爆虾,82,浙菜,湖滨,9.0,9.1,9.0,125785508,50
飲小滿餐廳,91,浙菜,钱江新城,9.0,8.8,8.8,129874965,45
新榆园,146,创意菜,龙井/虎跑,8.8,9.0,8.7,537543,45
osteria pelecanus鹈鹕野餐,116,西餐,下沙,9.1,9.1,9.2,130338916,50
宝美点心,13,江浙小吃,城站火车站,8.5,7.4,7.6,57245177,40
澳门味道茶餐厅,84,茶餐厅,北大桥/大悦城,8.3,8.5,8.5,112008569,40
火撸尖千岛小串,89,烧烤,古墩路沿线,9.2,8.6,9.0,129310258,50
喝丢一只鞋·老东北主题泥炉烤肉,103,融合烤肉,信义坊,8.9,8.4,8.6,21617144,45
素描餐厅,126,创意菜,灵隐,8.4,9.1,8.6,6334766,45
牛排家,331,牛排,庆春路沿线,9.1,9.3,9.2,93484580,50
好東家·民间菜,95,农家菜,阳光路,8.3,8.4,8.3,98129883,40
猪爸,109,浙菜,凤起路沿线,8.4,8.9,8.9,73620037,45
VIDA花园餐厅,194,西餐,凤起路沿线,8.7,9.2,9.1,73392484,50
牛犇犇牛馆,72,江浙小吃,凤起路沿线,8.9,8.7,8.9,130074904,45
谢大牛馆·黄牛骨中式牛排,80,江浙小吃,德胜路沿线,8.8,8.0,8.3,95470118,45
湊湊火锅·茶憩,150,火锅,湖滨,8.8,9.0,8.8,93761947,45
庐畔,137,浙菜,凤起路沿线,8.8,9.1,9.0,129706185,45
楼外楼,166,浙菜,西湖北线/黄龙,7.1,7.7,6.9,536375,35
荣先森,100,闽南菜,北大桥/大悦城,8.8,8.9,9.1,98702784,45
隐觅·私房菜,100,私房菜,南山路,9.1,9.0,9.1,123300656,50
同乐舫,158,粤菜馆,西湖北线/黄龙,8.8,8.9,8.4,2122381,45
曼陀林餐厅,133,创意菜,龙井/虎跑,9.2,9.4,9.2,127922924,50
鲍师傅糕点,42,面包烘焙,湖滨,8.8,8.4,8.3,93205974,45
大肆撸串·无忧酒肆,99,烤串,大关,8.4,8.6,8.7,124395372,45
福缘居酒楼,80,浙菜,吴山广场/河坊街,8.9,7.6,7.6,1914664,45
海底捞火锅,131,四川火锅,城西银泰,9.2,9.2,9.3,111562391,50
天伦里餐厅,250,浙菜,西湖北线/黄龙,9.0,8.9,8.8,23685200,50
素食堂,29,自助餐,解放路沿线,9.1,8.5,9.0,32624230,50
多伦多海鲜自助,112,自助餐,钱江新城,7.9,8.1,8.0,90576027,40
多米叔叔厚吐司,20,面包甜点,钱江新城,8.3,8.5,8.1,130525313,40
新荣记,571,浙菜,西溪,9.1,9.4,9.2,98154969,50
糊糊,22,快餐简餐,凤起路沿线,8.3,7.9,8.6,111513491,40
昊家露韩国料理,72,韩国料理,首尔印象,9.1,9.1,9.2,110731579,50
大刀腰片·川味观出品,112,四川火锅,凤起路沿线,8.9,8.9,8.8,131337086,45
艳台湾火锅,134,小火锅,庆春路沿线,9.2,9.3,9.2,96580758,50
红帽小吃馆,20,小吃,西湖北线/黄龙,7.6,7.2,7.2,92963382,35
西湖国宾馆·紫薇厅,376,浙菜,龙井/虎跑,9.1,9.4,9.1,2613688,50
宴鲜森·创意私房菜,112,私房菜,凤起路沿线,9.0,8.4,8.7,102205027,45
樨香,277,浙菜,钱江新城,9.1,9.1,8.7,125238896,50
三朝三山·烧卤酒肆,55,粤菜馆,凤起路沿线,9.0,9.1,9.0,126551835,50
铭言·创意台菜,117,创意菜,凤起路沿线,8.4,8.9,8.9,122319195,45
澳骄 Aussie Kitchen,124,西餐,吴山广场/河坊街,9.2,9.1,9.3,92767588,50
那些年一起吃串的地方,67,烤串,凤起路沿线,8.7,8.7,8.5,126221552,45
杭州知味观·杭帮菜餐厅,100,浙菜,湖滨,8.0,8.0,7.8,15860276,40
香芙茗茶楼,120,浙菜,龙井/虎跑,9.2,9.1,9.2,10485111,50
望湖小龙虾•招牌油焖大虾•生蚝,95,小龙虾,湖滨,9.1,8.3,8.9,83588557,50
蟹觅,193,浙菜,钱江新城,8.9,9.1,9.0,90893582,45
玖五京菜,190,烤鸭,庆春路沿线,8.8,9.2,9.0,96534444,45
望江门小龙虾·美蛙锅,122,小龙虾,湖滨,9.1,8.4,9.0,70446735,50
新白鹿餐厅,61,浙菜,湖滨,8.7,8.9,8.8,93527223,45
汉舍小雅汉舍小馆,170,粤菜馆,大关,8.7,9.0,8.6,4728636,45
Foamy Foamy,45,面包烘焙,湖滨,8.8,8.2,8.4,97983454,45
mamala 西餐厅,234,西餐,拱宸桥/上塘,9.2,9.3,9.3,12594791,50
泰燃HotThai泰式海鲜火锅,137,泰式火锅,庆春路沿线,9.1,9.1,9.1,124408710,50
德明饭店,107,浙菜,复兴路沿线,8.6,7.6,7.5,5964975,40
亚萃,126,新加坡菜,凤起路沿线,8.4,8.8,8.8,72450822,45
知味观·味庄,159,浙菜,龙井/虎跑,7.9,8.2,7.5,536995,40
碧桃小馆,118,创意菜,吴山广场/河坊街,8.6,9.1,8.4,13659940,45
幻想MEETINGYOU米其林风味西厨,145,西餐,庆春路沿线,8.9,9.1,9.0,112290474,50
九甲里·老底子杭帮菜,66,浙菜,庆春路沿线,9.0,8.9,9.1,124343721,50
李白图书馆餐厅,157,浙菜,新塘路/秋涛路沿线,8.7,9.1,8.7,83486607,45
荣小馆,171,苏浙菜,武林广场,8.7,8.8,8.5,97810823,45
宝荣鱼馆·临湖之宴,97,私房菜,千岛湖大排档,9.2,9.0,9.2,18591169,50
壹鹭·私房菜,109,私房菜,吴山广场/河坊街,9.2,9.1,9.3,130296608,50
稻禾百味南大门米糕,18,小吃,凤起路沿线,8.4,8.5,8.6,129766187,45
孔雀川菜,163,川菜家常菜,城东,8.9,9.1,8.9,129808361,45
花泰Blooming Thai,135,泰国菜,武林广场,9.0,9.2,9.1,93546386,50
明洞王妃家·和牛专卖店,123,韩式烤肉,湖滨,9.0,9.0,9.1,114807833,50
The Habit Burger Grill 哈比特汉堡,58,西式简餐,城西银泰,9.1,8.9,9.1,126089154,50
肉本家·碳烤肉,82,韩式烤肉,三墩镇,9.0,8.6,8.7,26946470,50
李不管把把烧,85,烤串,武林广场,8.2,8.4,8.4,129803880,40
嘭嘭鲜牛杂煲龙虾馆,84,打边炉/港式火锅,九堡,9.1,8.7,9.0,128562211,50
马路边边老成都串串香,91,串串香,高新文教区,9.0,8.7,8.7,97823534,45
浮谷火锅,85,小火锅,滨江天街,9.1,9.2,9.1,126576627,50
宴杭·江宴,111,浙菜,高新文教区,9.1,9.1,9.0,123687709,50
那时新疆·龟兹,96,新疆菜,湖滨,9.0,9.1,9.1,128088514,50
宴遇,217,特色菜,北大桥/大悦城,9.0,9.3,9.2,112108001,50
Eggsoul蛋魂,45,西式简餐,新街口地区,9.0,8.5,8.9,102970225,50
哥老官重庆美蛙鱼头,131,重庆火锅,夫子庙地区,9.2,9.2,9.3,129868575,50
蘇小主,72,特色菜,奥体中心,8.0,8.4,8.1,129997864,40
付小姐在成都,79,串串香,新街口地区,9.0,8.9,9.1,98636982,50
宴誉·恋海海鲜姿造,369,自助餐,奥体中心,8.9,9.1,9.0,98484438,45
南京大牌档,71,南京/江浙菜,夫子庙地区,8.9,8.9,8.7,15106050,45
江南里,78,苏浙菜,新街口地区,9.0,9.1,9.1,110087643,50
牛记脆皮五花肉,25,小吃,新街口地区,7.8,7.5,7.9,130006470,40
泥炉烧肉师,114,融合烤肉,新街口地区,9.1,9.0,8.7,79450431,50
LELECHA乐乐茶,36,面包烘焙,新街口地区,8.4,8.3,7.9,121797610,40
喝丢一只鞋,102,融合烤肉,珠江路沿线,9.0,8.9,8.9,122109648,50
花千醉小酒馆,82,南京/江浙菜,夫子庙地区,8.9,9.3,9.1,103638985,50
眷江南之小蓝鲸,69,南京/江浙菜,新街口地区,8.9,7.9,8.9,2019928,45
逆鳞,131,日本料理,升州路/集庆路,9.1,9.0,9.0,96717525,50
强烨饭店,119,苏浙菜,常府街/长白街,8.9,8.3,8.0,2361073,45
新白鹿餐厅,66,浙菜,新街口地区,8.5,9.0,9.0,122901638,45
翠园,285,粤菜馆,新街口地区,8.8,9.1,8.7,109461600,45
尚一汤 广东炖汤,159,粤菜馆,奥体中心,8.9,9.1,9.1,130071208,45
最火3拖1老火锅,86,重庆火锅,秦淮区,8.1,7.8,8.0,129355193,40
碳说品道·精品龙虾·海鲜烧烤,109,小龙虾,新街口地区,9.0,9.0,8.9,102170730,50
陳污污的半間店,27,快餐简餐,新街口地区,8.5,8.9,8.8,97450775,45
一味老卤面,19,面馆,玄武区,9.0,8.6,8.9,126836467,45
首尔大排档,107,韩国料理,新街口地区,8.4,9.0,9.1,122862629,45
电台巷火锅,122,重庆火锅,新街口地区,8.6,8.6,8.9,122010339,45
望蓉城·手工酸菜鱼,86,酸菜鱼/水煮鱼,奥体中心,9.0,8.8,8.9,130389794,45
香格里拉大酒店·江南灶中餐厅,240,淮扬菜,新模范马路,9.1,9.0,8.5,19828496,50
LeTAO小樽洋菓子铺,90,甜品,新街口地区,8.5,8.7,8.8,129853520,45
米桃-百花山房·桃花扇,110,苏帮菜,应天大街/文体路,9.0,9.2,9.1,97078271,50
深海冷饮批发超市,69,冰淇淋,常府街/长白街,9.2,8.8,9.0,65631434,50
老虎滩大连海鲜烧烤,123,烤串,草场门/龙江,9.1,8.9,8.9,98546008,50
芳婆糕团店,12,面包烘焙,新街口地区,8.5,7.5,7.7,538595,45
鱼市新馆,392,自助餐,南京国际博览中心/元通,9.0,9.0,8.9,130389817,50
小潘记鸭血粉丝汤,21,快餐简餐,珠江路沿线,8.8,7.9,8.2,2867470,45
润木溪,75,淮扬菜,新街口地区,8.6,9.1,9.1,112506061,45
左庭右院鲜牛肉火锅,140,潮汕牛肉火锅,新街口地区,9.2,9.1,9.1,73563878,50
龙吟山房,453,特色菜,江宁区,8.9,9.4,9.1,56573964,50
喜姐炸串,25,炸鸡炸串,新街口地区,8.9,8.7,9.0,130471785,45
POETS·Thai 普艾斯泰餐厅酒吧,159,东南亚菜,新街口地区,9.1,9.2,9.2,14192885,50
成都娃娃花园餐厅 Garden Restaurant & Lounge,109,川菜家常菜,南大/南师大,9.1,9.2,9.1,22675029,50
柏烤堂烧烤,96,烧烤,新街口地区,9.0,9.1,8.9,27317293,50
李记清真馆,22,快餐简餐,升州路/集庆路,8.7,7.7,7.6,566541,45
金陵烧烤龙虾坊,140,小龙虾,湖南路,8.9,8.9,9.0,77949635,50
寻花·肆季,71,浙菜,新街口地区,8.4,9.2,9.0,128466070,45
老门东美食街,41,其他美食,夫子庙地区,9.0,8.8,8.7,18143932,50
猫抓烤肉,104,韩国料理,新街口地区,9.2,9.1,9.2,59186516,50
递酒中学,104,融合烤肉,凤凰西街,9.0,9.2,9.1,129818450,50
恋尚哥老官重庆美蛙鱼头,112,重庆火锅,新街口地区,8.5,8.6,8.7,129682152,45
鸽味轩,94,粤菜馆,环亚凯瑟琳广场,9.1,8.9,9.0,97985581,50
桃花源记·春风,79,湘菜,奥体中心,8.6,8.7,8.7,130390006,45
翠华餐厅,92,茶餐厅,新街口地区,8.3,8.4,8.0,58876299,40
度小月,79,其他中餐,新街口地区,8.2,9.0,9.0,75203138,45
金陵暴走小龙虾,155,小龙虾,东山镇,9.2,8.9,8.9,23667022,50
本家韩国料理,132,韩国料理,新街口地区,9.2,9.2,9.1,5210198,50
芋见他,30,面包烘焙,新街口地区,8.6,8.4,8.6,129889169,45
